A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
-2.01666E+002	3.95520E+001	2.16803E+002	-3.85754E+001	8.72829E+000	-1.83111E+001
-2.65633E+002	-1.01077E+002	6.08417E+002	-9.79034E+001	1.80059E+001	-2.56355E+000
-2.57820E+002	-2.77352E+002	1.33158E+003	-1.32694E+002	2.08747E+001	1.15360E+001
-6.68966E+001	-4.29701E+002	1.95514E+003	-1.09012E+002	2.01422E+001	2.64901E+001
6.29902E+001	-4.50697E+002	2.13434E+003	-4.47401E+001	1.63579E+001	2.33161E+001
3.46690E+001	-3.40342E+002	1.77056E+003	3.68053E+001	-1.22684E+001	-1.28178E+000
-5.27360E+001	-2.20222E+002	1.32279E+003	8.79543E+001	-2.72835E+001	-1.64190E+001
-1.72857E+002	-1.25004E+002	9.24345E+002	1.07425E+002	-2.16071E+001	-1.90435E+001
-2.08991E+002	-7.81274E+000	5.71795E+002	1.06449E+002	-2.05695E+001	-9.27763E+000
-5.02945E+001	1.20121E+002	3.74035E+002	7.55638E+001	-2.17292E+001	1.95318E+000
-4.39467E+000	1.74322E+002	2.45613E+002	3.41197E+001	-1.34281E+001	-6.65304E+000
-6.05487E+001	1.27934E+002	2.81259E+002	-8.24000E+000	6.71407E-001	-1.00711E+001
-4.10169E+001	4.05286E+001	5.06363E+002	-5.56047E+001	1.45268E+001	-4.76089E+000
-1.34770E+002	-6.20136E+001	8.62819E+002	-9.45463E+001	2.84433E+001	-6.59200E+000
-2.14362E+002	-1.82623E+002	1.32768E+003	-1.02725E+002	1.62358E+001	-7.69066E+000
-1.28422E+002	-2.33894E+002	1.58892E+003	-8.17286E+001	1.48320E+001	5.67644E+000
-4.15052E+001	-3.12510E+002	1.88189E+003	-5.71306E+001	2.06915E+001	1.17801E+001
-3.17392E+001	-3.78918E+002	1.90191E+003	-2.99081E+000	1.06815E+001	4.08948E+000
-1.13773E+002	-2.68075E+002	1.48540E+003	6.27461E+001	-1.51372E+001	-7.20237E+000
-1.19144E+002	-1.49907E+002	1.01907E+003	9.58281E+001	-2.74056E+001	-9.09452E+000
-9.86358E+001	-1.56255E+001	6.23066E+002	9.27763E+001	-2.16681E+001	-3.05185E+000
-1.01077E+002	7.51976E+001	4.13099E+002	6.55538E+001	-1.54424E+001	-4.88296E-001
-5.51775E+001	1.21097E+002	3.11533E+002	2.86264E+001	-8.17896E+000	9.76592E-001
-7.56859E+001	7.61742E+001	3.03720E+002	-7.14133E+000	-2.13630E+000	-3.84533E+000
-1.03519E+002	-1.31840E+001	4.34095E+002	-4.68154E+001	6.10370E-002	-5.31022E+000
-1.65532E+002	-1.01077E+002	8.44752E+002	-8.61232E+001	1.09256E+001	-9.76592E-001
-1.90435E+002	-1.98248E+002	1.30717E+003	-9.80255E+001	1.80059E+001	7.38548E+000
-6.34785E+000	-2.82235E+002	1.76470E+003	-8.03858E+001	1.34281E+001	1.70293E+001
5.61541E+001	-3.25205E+002	1.95904E+003	-3.46690E+001	4.76089E+000	8.24000E+000
-2.19733E+001	-2.94931E+002	1.72515E+003	2.38044E+001	-5.98163E+000	-4.51674E+000
-8.93582E+001	-2.34870E+002	1.37407E+003	6.28071E+001	-9.33866E+000	-7.38548E+000
-1.42094E+002	-1.49907E+002	9.69268E+002	8.39869E+001	-1.12308E+001	-6.71407E+000
-1.42094E+002	-3.66222E+001	6.25019E+002	8.48415E+001	-1.52593E+001	-4.39467E+000
-1.07913E+002	4.93179E+001	4.27747E+002	6.05487E+001	-1.25736E+001	1.22074E-001
-4.63881E+001	9.81475E+001	3.42784E+002	2.67953E+001	-4.02844E+000	1.52593E+000
-5.76189E+001	8.74050E+001	3.04697E+002	-5.00504E+000	-7.93481E-001	-2.01422E+000
-4.93179E+001	-9.76592E-001	4.74624E+002	-4.57167E+001	5.43229E+000	-1.40385E+000
-1.69927E+002	-1.08402E+002	8.52077E+002	-8.17896E+001	1.40996E+001	-5.55437E+000
-2.26081E+002	-2.09967E+002	1.39848E+003	-9.49126E+001	1.25736E+001	-4.27259E-001
1.85553E+001	-2.87118E+002	1.88678E+003	-7.61742E+001	1.47710E+001	1.77618E+001
4.68764E+001	-3.47667E+002	2.04010E+003	-2.33772E+001	3.72326E+000	7.87378E+000
-2.68563E+001	-2.76376E+002	1.66070E+003	4.28480E+001	-1.61748E+001	-4.63881E+000
9.27763E+000	-1.66021E+002	1.19193E+003	8.21558E+001	-2.42927E+001	-7.08029E+000
-8.05689E+001	-8.25220E+001	7.97388E+002	8.92972E+001	-1.92267E+001	-1.25736E+001
-1.30863E+002	-1.41606E+001	5.62029E+002	7.19626E+001	-1.02542E+001	-8.60622E+000
-9.66826E+001	5.56658E+001	4.39955E+002	4.37635E+001	-2.01422E+000	-1.95318E+000
-7.86157E+001	1.02542E+002	3.19834E+002	1.91656E+001	-2.99081E+000	-4.51674E+000
-1.03030E+002	8.78933E+001	2.80282E+002	-1.50761E+001	-2.86874E+000	-4.82192E+000
-8.74050E+001	-2.29499E+001	6.44551E+002	-6.71407E+001	1.24516E+001	3.47911E+000
-1.45024E+002	-1.28422E+002	1.16800E+003	-9.64995E+001	2.68563E+001	7.69066E+000
-1.03030E+002	-2.15339E+002	1.60601E+003	-8.11182E+001	2.80770E+000	1.01321E+001
3.07627E+001	-2.75887E+002	1.83746E+003	-4.52284E+001	-7.26341E+000	1.48930E+001
3.02744E+001	-2.95907E+002	1.92193E+003	-2.56355E+000	-4.27259E+000	6.10370E+000
6.83615E+000	-1.84088E+002	1.47856E+003	5.58489E+001	-1.22684E+001	-5.18815E+000
4.88296E+000	-7.71508E+001	9.90753E+002	8.58180E+001	-2.07526E+001	-1.23295E+001
