A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]
-4.22864E+002	-6.00604E+001	8.16431E+002	9.13724E+001	-2.27058E+001	-5.32853E+001
-3.04697E+002	-2.63680E+001	9.14090E+002	9.18607E+001	-4.90738E+001	-7.79443E+001
-3.65246E+002	2.24616E+001	8.27662E+002	6.25019E+001	-3.44859E+001	-9.90631E+001
-2.76376E+002	-1.31352E+002	1.08158E+003	2.47200E+001	-3.40587E+001	-9.77813E+001
-7.12912E+001	-1.42582E+002	1.18509E+003	1.37944E+001	1.21464E+001	-3.30821E+001
-1.56255E+002	-9.32646E+001	1.08890E+003	5.87786E+001	1.11087E+001	-1.33671E+001
-3.60851E+002	4.83413E+001	1.03568E+003	7.19626E+001	-1.06815E+001	-4.44960E+001
-3.62316E+002	4.39467E+000	9.11161E+002	5.90838E+001	-8.22779E+001	-5.24308E+001
-1.87994E+002	4.34584E+001	8.94070E+002	6.91549E+001	-1.57109E+002	-6.12201E+001
6.68966E+001	9.32646E+001	1.04349E+003	4.66323E+001	-1.01993E+002	-4.08948E+000
1.66021E+001	1.55766E+002	1.03763E+003	5.37126E+000	-4.46791E+001	4.95621E+001
8.05689E+001	1.85064E+002	1.15922E+003	-2.29499E+001	-6.49434E+001	5.24918E+001
1.46977E+002	-1.51372E+001	1.05081E+003	-7.44652E+000	-5.95111E+001	3.87585E+001
1.62603E+002	8.74050E+001	1.01273E+003	1.70293E+001	-1.05838E+002	-2.31941E+000
2.93466E+002	1.50884E+002	7.81274E+002	2.75887E+001	-1.29582E+002	-2.22785E+001
3.79894E+002	1.09378E+002	8.60866E+002	1.14139E+001	-1.03580E+002	-1.67241E+001
4.75600E+002	1.60161E+002	7.90063E+002	6.89718E+000	-6.63472E+001	-2.05695E+001
5.39079E+002	2.29011E+002	8.32057E+002	-2.16071E+001	-6.76290E+001	-2.55135E+001
5.70330E+002	1.50395E+002	9.23368E+002	-4.05896E+001	-4.87686E+001	-2.19733E+000
5.77166E+002	1.15238E+002	9.46318E+002	-2.90536E+001	3.22275E+001	-1.83111E-001
4.74136E+002	1.01077E+002	9.41435E+002	-1.13529E+001	1.22501E+002	-6.95822E+000
1.84088E+002	9.22880E+001	8.78933E+002	-1.40996E+001	1.69317E+002	1.01932E+001
7.56859E+001	0.00000E+000	1.02542E+003	-2.31330E+001	7.87988E+001	6.92160E+001
1.80181E+002	5.81072E+001	1.05179E+003	0.00000E+000	4.78530E+001	5.89007E+001
1.07913E+002	8.20338E+001	1.10111E+003	6.16474E+000	8.35597E+001	3.35093E+001
-4.39467E+001	9.27763E+001	9.88311E+002	-1.58696E+000	1.09195E+002	3.88806E+001
-7.08029E+001	4.19935E+001	9.59014E+002	-3.11289E+001	2.03864E+001	3.04575E+001
4.34584E+001	1.56255E+001	9.24345E+002	-3.39366E+001	-8.45363E+001	3.65001E+001
1.79693E+002	-5.02945E+001	1.05618E+003	-4.57778E+001	-3.21665E+001	7.04978E+001
1.16703E+002	-1.60161E+002	1.10111E+003	-3.09458E+001	5.67034E+001	5.15152E+001
1.26957E+001	-6.59200E+001	1.12064E+003	4.57778E+000	4.80972E+001	-3.66222E+000
-1.82623E+002	-2.24616E+001	1.03323E+003	4.23597E+001	6.97653E+001	1.21464E+001
-1.62114E+002	-5.85955E+001	9.41435E+002	4.05286E+001	-4.99893E+001	1.57476E+001
2.46101E+002	1.70904E+001	1.02347E+003	4.63271E+001	-1.57903E+002	-1.57476E+001
2.21686E+002	7.76391E+001	9.67315E+002	5.14542E+001	-4.40077E+001	-2.18513E+001
1.27445E+002	1.53813E+002	9.94171E+002	2.80770E+001	4.40077E+001	-2.92978E+000
9.22880E+001	9.91241E+001	9.19462E+002	-9.52177E+000	-3.29600E+000	1.50151E+001
5.46892E+001	1.12308E+001	1.03275E+003	-2.63070E+001	-6.48213E+001	-7.20237E+000
1.85064E+002	1.22074E+001	1.06449E+003	1.69073E+001	-1.07547E+002	-9.27763E+000
4.36537E+002	1.45024E+002	1.05765E+003	6.50044E+001	-1.55400E+002	-1.14139E+001
4.79995E+002	2.57332E+002	8.14478E+002	7.53197E+001	-6.56148E+001	-2.31941E+001
3.85754E+002	3.11045E+002	8.08130E+002	9.70489E+000	-1.34281E+001	-1.44047E+001
1.73833E+002	1.39164E+002	8.59890E+002	-5.56047E+001	-1.28178E+000	-2.44148E+000
3.49620E+002	5.17594E+001	9.37040E+002	-5.37736E+001	-3.34483E+001	2.71615E+001
4.56069E+002	5.22477E+001	9.55596E+002	-2.76498E+001	-4.30311E+001	3.74767E+001
5.97674E+002	5.81072E+001	8.81863E+002	-1.08036E+001	-4.52284E+001	3.28990E+001
6.31855E+002	5.71306E+001	7.87133E+002	-2.24006E+001	-5.98163E+001	1.06204E+001
5.84979E+002	6.83615E+000	8.13990E+002	-5.01724E+001	-4.69985E+001	-2.38044E+000
5.79608E+002	-7.22678E+001	8.50612E+002	-5.80462E+001	-2.36213E+001	1.02542E+001
5.91815E+002	-7.08029E+001	8.44752E+002	-3.94910E+001	-3.79040E+001	1.17191E+001
6.54317E+002	-1.04495E+002	8.01294E+002	-2.26447E+001	-8.04468E+001	-4.88296E+000
7.12424E+002	-9.03348E+001	7.62719E+002	-5.49333E+000	-9.33256E+001	-1.01321E+001
7.21702E+002	-6.49434E+001	6.74825E+002	-7.93481E-001	-8.12403E+001	8.30103E+000
8.22291E+002	-9.71709E+001	6.20136E+002	-8.36207E+000	-7.07419E+001	2.47200E+001
